mezcla,politica,run,app,ipc,nucleos
2,2,3,mcf_r,0.9594469384886932,50
2,2,3,hmmer,1.572825436882824,1119
2,2,3,GemsFDTD,1.822977580618581,2047
2,2,3,tonto,1.724909907449663,818
2,2,3,libquantum,2.760838518705578,13
2,2,3,imagick_r,3.0199431631673286,1165
2,3,1,xalancbmk,1.3209707596001463,1489
2,3,1,bzip2,1.595456817328279,1522
2,3,1,mcf_r,0.9073864533165625,1494
2,3,1,hmmer,1.5719640453747652,1549
2,3,1,GemsFDTD,1.9658336672255001,1469
2,3,1,tonto,1.6716532246872793,1482
2,3,1,libquantum,3.275144742337521,1500
2,3,1,imagick_r,3.449069684925512,1507
2,3,2,xalancbmk,1.3083090492766267,1546
2,3,2,bzip2,1.5934500776759517,1533
2,3,2,mcf_r,0.9085120138207984,1531
2,3,2,hmmer,1.5719044610292796,1508
2,3,2,GemsFDTD,1.952776776168409,1574
2,3,2,tonto,1.6644963412013019,1499
2,3,2,libquantum,3.269049230973539,1474
2,3,2,imagick_r,3.427481018799198,1563
2,3,3,xalancbmk,1.3128762581941833,1485
2,3,3,bzip2,1.592025042885373,1438
2,3,3,mcf_r,0.9053348876746656,1508
2,3,3,hmmer,1.5716440046524238,1462
2,3,3,GemsFDTD,1.9924492652782875,1500
2,3,3,tonto,1.6644651443304994,1513
2,3,3,libquantum,3.2653912758555537,1487
2,3,3,imagick_r,3.433418896052556,1521
3,0,1,gamess,3.544933667284549,0
3,0,1,leslie3d,3.356120217800117,0
3,0,1,milc,1.2689360493984674,0
3,0,1,lbm_r,2.403116530980344,0
3,0,1,mcf,0.5338580152640265,0
3,0,1,sphinx3,1.4418462445297446,0
3,0,1,namd,1.5748684311391845,0
3,0,1,namdREPEAT,1.5770628478336732,0
3,0,2,gamess,3.5344947770276347,0
3,0,2,leslie3d,3.3323265536316167,0
3,0,2,milc,1.3501226420872912,0
3,0,2,lbm_r,2.368816608975039,0
3,0,2,mcf,0.529689976039011,0
3,0,2,sphinx3,1.4409629699319735,0
3,0,2,namd,1.5765275773698257,0
3,0,2,namdREPEAT,1.5764304683865633,0
3,0,3,gamess,3.5410256085536562,0
3,0,3,leslie3d,3.3173009458160663,0
3,0,3,milc,1.353138841120136,0
3,0,3,lbm_r,2.4192744760386073,0
3,0,3,mcf,0.5290028776274852,0
3,0,3,sphinx3,1.4369432955951693,0
3,0,3,namd,1.57550096744084,0
3,0,3,namdREPEAT,1.577113654255873,0
3,1,1,gamess,3.5824840493697074,0
3,1,1,leslie3d,3.358681114948013,0
3,1,1,milc,1.0366928667435786,1
3,1,1,lbm_r,2.2205382059736842,3
3,1,1,mcf,0.5317488843608393,1
3,1,1,sphinx3,1.4374000697656248,1
3,1,1,namd,2.301591915330001,2
3,1,1,namdREPEAT,2.5013636399120474,2
3,1,2,gamess,3.582199426564133,0
3,1,2,leslie3d,3.346471715335512,0
3,1,2,milc,1.0275050837137623,1
3,1,2,lbm_r,2.992148489747851,2
3,1,2,mcf,0.5248434071544246,3
3,1,2,sphinx3,1.5052581758405859,1
3,1,2,namd,1.565749389592612,1
3,1,2,namdREPEAT,2.5013284700287333,0
3,1,3,gamess,3.5893704300402405,0
3,1,3,leslie3d,3.357063422237098,0
3,1,3,milc,1.0378516203802741,1
3,1,3,lbm_r,2.2177115686898534,3
3,1,3,mcf,0.5313729403154798,1
3,1,3,sphinx3,1.4379270123353167,1
3,1,3,namd,2.3009723161234534,2
3,1,3,namdREPEAT,2.5005498989336514,2
3,2,1,gamess,2.6525923774249094,51
3,2,1,leslie3d,2.4581323247530054,47
3,2,1,milc,1.4099264866144947,154
3,2,1,lbm_r,2.456285931016897,2997
3,2,1,mcf,0.9541237013843024,132
3,2,1,sphinx3,1.8672702304953275,2804
3,2,1,namd,2.112274090142646,2992
3,2,1,namdREPEAT,2.116263606773841,2991
3,2,2,gamess,2.6375582173528196,31
3,2,2,leslie3d,2.4731096144721385,51
3,2,2,milc,1.4056184863534116,154
3,2,2,lbm_r,2.4254455159985078,2988
3,2,2,mcf,0.888117821782145,96
3,2,2,sphinx3,1.852799015817297,2821
3,2,2,namd,2.117133410493023,2994
3,2,2,namdREPEAT,2.115560546409158,2995
3,2,3,gamess,2.634830743371254,31
3,2,3,leslie3d,2.479521865501479,33
3,2,3,milc,1.3974945831193801,120
3,2,3,lbm_r,2.4732080861972165,2640
3,2,3,mcf,0.9016118377578772,84
3,2,3,sphinx3,1.8643683937228996,2491
3,2,3,namd,2.1168549534844017,2636
3,2,3,namdREPEAT,2.1192941947301107,2637
3,3,1,gamess,3.1727647064579823,1537
3,3,1,leslie3d,2.9364394876825,1469
3,3,1,milc,1.2203931662234322,1516
3,3,1,lbm_r,2.417081829788177,1499
3,3,1,mcf,0.7455135886697223,1484
3,3,1,sphinx3,1.8450255053284665,1508
3,3,1,namd,2.1093518013052632,1533
3,3,1,namdREPEAT,2.1014490066294216,1540
3,3,2,gamess,3.181575051786997,1471
3,3,2,leslie3d,2.921574869872255,1533
3,3,2,milc,1.2158146175133806,1477
3,3,2,lbm_r,2.4361976748734753,1492
3,3,2,mcf,0.7702921355947349,1536
3,3,2,sphinx3,1.8531680910868855,1503
3,3,2,namd,2.098870935056969,1488
3,3,2,namdREPEAT,2.1066199506548093,1502
3,3,3,gamess,3.1597590148724715,1218
3,3,3,leslie3d,2.929851327472479,1208
3,3,3,milc,1.2161942224758913,1210
3,3,3,lbm_r,2.4307182720944174,1197
3,3,3,mcf,0.771535011130934,1191
3,3,3,sphinx3,1.8410977248421596,1200
3,3,3,namd,2.1078554324209997,1153
3,3,3,namdREPEAT,2.1164791418001174,1227
4,0,1,astar,1.3541551737409852,0
4,0,1,mcf_r,0.9585645424668237,0
4,0,1,hmmer,1.5803541128871288,0
4,0,1,leela_r,1.5110083477538954,0
4,0,1,sjeng,1.7019745485279245,0
4,0,1,mcf_rREPEAT,0.9038729534921419,0
4,0,1,omnetpp_r,0.8001976465089138,0
4,0,1,nab_r,1.5681728611963557,0
4,0,2,astar,1.352418625297856,0
4,0,2,mcf_r,0.9883939125435602,0
4,0,2,hmmer,1.5804413111793838,0
4,0,2,leela_r,1.5111498362982436,0
4,0,2,sjeng,1.7024707810259896,0
4,0,2,mcf_rREPEAT,0.9037025178689444,0
4,0,2,omnetpp_r,0.8005797232405334,0
4,0,2,nab_r,1.5667025378312027,0
4,0,3,astar,1.355831576046083,0
4,0,3,mcf_r,0.9831902623258009,0
4,0,3,hmmer,1.5800476507420609,0
4,0,3,leela_r,1.5114852007627793,0
4,0,3,sjeng,1.701980783101881,0
4,0,3,mcf_rREPEAT,0.9048366287700873,0
4,0,3,omnetpp_r,0.7989283416452772,0
4,0,3,nab_r,1.5689406391773009,0
4,1,1,astar,1.2740714446780015,5
4,1,1,mcf_r,0.8967455496822824,31
4,1,1,hmmer,1.5803915676060356,22
4,1,1,leela_r,1.4818295295350108,34
4,1,1,sjeng,1.918561372147866,2
4,1,1,mcf_rREPEAT,0.8741137524181277,23
4,1,1,omnetpp_r,0.7520101909997793,1
4,1,1,nab_r,2.126231565159357,2
4,1,2,astar,1.2703992506101467,5
4,1,2,mcf_r,0.900951818559958,29
4,1,2,hmmer,1.5799517340157,22
4,1,2,leela_r,1.4809816312008683,28
4,1,2,sjeng,1.9174052935394335,6
4,1,2,mcf_rREPEAT,0.8692771388290481,19
4,1,2,omnetpp_r,0.751966044159483,1
4,1,2,nab_r,2.1271082021553824,2
4,1,3,astar,1.2797280803520799,5
4,1,3,mcf_r,0.8913771404545682,33
4,1,3,hmmer,1.5800047691639518,20
4,1,3,leela_r,1.4835584633248415,34
4,1,3,sjeng,1.917187197791362,4
4,1,3,mcf_rREPEAT,0.8676375018105754,23
4,1,3,omnetpp_r,0.7570829348518274,1
4,1,3,nab_r,2.126101565866582,4
4,2,1,astar,1.193639739446547,6
4,2,1,mcf_r,0.9938004675153683,110
4,2,1,hmmer,1.558833600349545,77
4,2,1,leela_r,1.4611567528390776,559
