politica,mezcla,run,app,ipc,nucleos,tiempo   //YA USADO PTIMERA EJECUCIÓN
2,2,1,gamess,2.6503080920244337,1,179.4
2,2,1,leslie3d,2.4374560537643757,7,189.4
2,2,1,milc,1.3525575146838844,12,90.2
2,2,1,lbm_r,2.467517203528581,194,38.8
2,2,1,mcf,0.940049432749082,27,110.0
2,2,1,sphinx3,1.7884607205735363,330,72.2
2,2,1,namd,2.121515313642659,346,69.4
2,2,1,namdREPEAT,2.1227362667782037,346,69.2
2,2,1,,2.6354001712698745,274,150.4
2,2,1,REPEAT,2.116918238200427,1616,545.8
2,2,2,gamess,2.6390607017609717,3,179.4
2,2,2,leslie3d,2.442935289884682,5,189.6
2,2,2,milc,1.3652006865559987,10,89.4
2,2,2,lbm_r,2.4843046487833007,193,38.6
2,2,2,mcf,0.940027905111253,28,109.8
2,2,2,sphinx3,1.7871427408745728,331,72.0
2,2,2,namd,2.120580609021522,345,69.4
2,2,2,namdREPEAT,2.125904791457124,344,69.2
2,2,2,,1.914222910412469,267,150.8
2,2,2,REPEAT,1.8257446916075044,1623,548.2
2,3,1,astar,1.1830843532293092,1,132.8
2,3,1,mcf_r,0.9396001061519397,0,176.6
2,3,1,hmmer,1.557722295620449,42,128.6
2,3,1,leela_r,1.504129169236832,55,128.6
2,3,1,sjeng,1.7575911623502072,3,149.0
2,3,1,mcf_rREPEAT,0.9403279061938796,2,176.2
2,3,1,omnetpp_r,1.0426770285866902,4,158.6
2,3,1,nab_r,1.61322956147432,44,127.8
2,3,1,,2.1740622237634817,10,48.6
2,3,1,REPEAT,1.2668165207223185,606,185.6
2,3,2,astar,1.145331545760129,1,138.4
2,3,2,mcf_r,0.9371857565851688,4,176.4
2,3,2,hmmer,1.566681678256306,47,126.6
2,3,2,leela_r,1.5075784000911772,57,127.8
2,3,2,sjeng,1.7624552790136783,3,148.6
2,3,2,mcf_rREPEAT,0.94083455110566,0,176.4
2,3,2,omnetpp_r,1.0541746678562771,4,157.0
2,3,2,nab_r,1.6107270795890505,47,127.4
2,3,2,,1.986442539269205,17,49.6
2,3,2,REPEAT,1.2739686682721238,608,182.6
3,0,1,gamess,3.177611670617432,208,85.2
3,0,1,gobmk,1.4784700685031094,204,82.6
3,0,1,zeusmp,1.4599328317432287,208,86.4
3,0,1,mcf_r,0.8688661561013502,378,145.4
3,0,1,lbm,1.6253120021830683,228,84.6
3,0,1,lbmREPEAT,1.6383520318076064,219,84.2
3,0,1,deepsjeng_r,1.89994621167228,169,67.2
3,0,1,nab_r,1.8816389930852782,165,69.0
3,0,1,,3.1673634933156087,187,78.0
3,0,1,REPEAT,1.705578893120714,1020,380.2
3,0,2,gamess,3.1712609568122994,220,83.8
3,0,2,gobmk,1.47196802395706,210,83.2
3,0,2,zeusmp,1.4579813535947679,218,84.4
3,0,2,mcf_r,0.8720297587324495,369,147.0
3,0,2,lbm,1.6287605555181799,222,85.2
3,0,2,lbmREPEAT,1.6338920201345413,224,84.0
3,0,2,deepsjeng_r,1.889102226639666,173,65.8
3,0,2,nab_r,1.8667291864559028,168,69.6
3,0,2,,3.16886694543807,208,81.0
3,0,2,REPEAT,1.6985964798461932,1061,391.6
3,1,1,xalancbmk,2.7174392963335148,148,61.6
3,1,1,bzip2,1.6096210774641437,263,103.8
3,1,1,mcf_r,0.8636749915503894,378,146.4
3,1,1,hmmer,1.570726913256841,199,78.2
3,1,1,GemsFDTD,2.3448746704880565,217,87.4
3,1,1,tonto,2.215277744710661,210,77.0
3,1,1,libquantum,3.345714952951336,236,94.2
3,1,1,imagick_r,4.232638170391446,75,30.4
3,1,1,,1.697883666455707,282,115.8
3,1,1,REPEAT,3.106777408859255,1039,376.0
3,1,2,xalancbmk,2.615208893949109,160,63.0
3,1,2,bzip2,1.5818382799174755,258,109.0
3,1,2,mcf_r,0.8654970594323643,366,149.8
3,1,2,hmmer,1.5700663436049593,204,78.0
3,1,2,GemsFDTD,2.3519444099866784,224,84.4
3,1,2,tonto,2.1848158059779665,208,78.6
3,1,2,libquantum,3.272810074348384,256,95.2
3,1,2,imagick_r,4.26524567881215,80,28.6
3,1,2,,1.653593479817046,318,121.0
3,1,2,REPEAT,2.2103434322085134,1101,390.4
3,2,1,gamess,3.164360358193169,220,83.2
3,2,1,leslie3d,2.9056169855948566,246,87.4
3,2,1,milc,1.2205243679502025,197,76.8
3,2,1,lbm_r,2.457170519209636,132,51.6
3,2,1,mcf,0.7478936893679426,278,109.2
3,2,1,sphinx3,1.7252353063665715,246,96.2
3,2,1,namd,2.092446693705213,250,94.8
3,2,1,namdREPEAT,2.0930513422471373,223,91.0
3,2,1,,3.1634277835248206,149,57.4
3,2,1,REPEAT,2.0945614331065685,343,125.6
3,2,2,gamess,3.1625370629014222,222,83.2
3,2,2,leslie3d,2.929554814048058,235,88.8
3,2,2,milc,1.2490165919753395,208,73.0
3,2,2,lbm_r,2.4650737455140916,128,52.4
3,2,2,mcf,0.7665150215445805,268,107.4
3,2,2,sphinx3,1.7518504057476818,247,92.8
3,2,2,namd,2.1108505102893758,234,92.8
3,2,2,namdREPEAT,2.110105514537505,238,92.0
3,2,2,,3.1612378695057113,132,54.8
3,2,2,REPEAT,2.101787681063159,339,121.6
3,3,1,astar,0.9416751916944689,299,117.4
3,3,1,mcf_r,0.8970049631285273,348,144.8
3,3,1,hmmer,1.5706058074976235,192,79.4
3,3,1,leela_r,1.5011835739901187,217,83.0
